,,,,,,
"This exercise library identifies over 250 exercises for all the major muscle groups of the body and are identified as Beginner, Intermediate, or Advanced according to their level of difficulty. ",,,,,,
Modality: FW=Free Weight / C=Cables / M=FixedResistance                                                                                                              Joint: M=Multi-joint (compound) S=Single-joint (Isolation),,,,,,
,,,,,,
Muscle Group,Exercise,Level,U/L/C,P / P,Modality,Joint,Status
Back - Lat.Dorsi/Rhomboids,Reverse Incline Dumbbell Row,Advanced,Upper,Pull,FW,M,COMPLETE
Back - Lat.Dorsi/Rhomboids,Rope Cable Row,Intermediate,Upper,Pull,C,M,COMPLETE
Back - Lat.Dorsi/Rhomboids,Seated Cable Row,Beginner,Upper,Pull,C,M,COMPLETE
Back - Lat.Dorsi/Rhomboids,Seated Row,Beginner,Upper,Pull,C,M,COMPLETE
Back - Lat.Dorsi/Rhomboids,Single-Arm Cable Row,Intermediate,Upper,Pull,C,M,COMPLETE
Back - Lat.Dorsi/Rhomboids,Single-Arm Dumbbell Row,Beginner,Upper,Pull,FW,M,COMPLETE
Back - Lat.Dorsi/Rhomboids,Single-Arm Lat Pulldown,Intermediate,Upper,Pull,C,M,COMPLETE
Back - Lat.Dorsi/Rhomboids,Standing Cable Row,Beginner,Upper,Pull,C,M,COMPLETE
Back - Lat.Dorsi/Rhomboids,Standing Single-Arm Cable Row,Intermediate,Upper,Pull,C,M,COMPLETE
Biceps,Alternating Dumbbell Curl,Beginner,Upper,Pull,FW,S,COMPLETE
Biceps,Alternating Hammer Curl,Beginner,Upper,Pull,FW,S,COMPLETE
Biceps,Barbell Curl,Beginner,Upper,Pull,FW,S,COMPLETE
Biceps,Bicep Curl,Beginner,Upper,Pull,FW,S,COMPLETE
Biceps,Bottom/Top/Full Curls,Advanced,Upper,Pull,FW,S,COMPLETE
Biceps,Cable Curl,Intermediate,Upper,Pull,C,S,COMPLETE
Biceps,Concentration Dumbbell Curl,Intermediate,Upper,Pull,FW,S,COMPLETE
Biceps,Cross Body Hammer Curl,Advanced,Upper,Pull,FW,S,COMPLETE
Biceps,Dumbbell Curl,Beginner,Upper,Pull,FW,S,COMPLETE
Biceps,EZ-Bar Curl,Intermediate,Upper,Pull,FW,S,COMPLETE
Biceps,Hammer Curl,Beginner,Upper,Pull,FW,S,COMPLETE
Biceps,Incline Alternating Dumbbell Curl,Advanced,Upper,Pull,FW,S,COMPLETE
Biceps,Incline Alternating Hammer Curl,Advanced,Upper,Pull,FW,S,COMPLETE
Biceps,Incline Dumbbell Curl,Advanced,Upper,Pull,FW,S,COMPLETE
Biceps,Incline Hammer Curl,Advanced,Upper,Pull,FW,S,COMPLETE
Biceps,Kneeling Cable Curl,Beginner,Upper,Pull,C,S,COMPLETE
Biceps,Lying Cable Curl,Intermediate,Upper,Pull,C,S,COMPLETE
Biceps,Lying Double Biceps Cable Curl,Intermediate,Upper,Pull,C,S,COMPLETE
Biceps,Lying High Cable Curl,Advanced,Upper,Pull,C,S,COMPLETE
Biceps,Machine Curl,Beginner,Upper,Pull,M,S,COMPLETE
Biceps,Overhead Double Biceps Cable Curl,Advanced,Upper,Pull,C,S,COMPLETE
Biceps,Overhead Rope Cable Curl,Advanced,Upper,Pull,C,S,COMPLETE
Biceps,Preacher Barbell Curl,Advanced,Upper,Pull,FW,S,COMPLETE
Biceps,Preacher Cable Curl,Advanced,Upper,Pull,C,S,COMPLETE
Biceps,Preacher Dumbbell Curl,Intermediate,Upper,Pull,FW,S,COMPLETE
